time,inst,cpy cycles,misses,pages,switches,bus,pref
111,7,3,2639,0,0,0,171
111,7,2,2242,0,0,0,163
111,7,2,2127,0,0,0,156
111,7,2,2245,0,0,0,161
111,7,2,2277,0,0,0,164
111,7,2,2240,0,0,0,152
111,7,2,2123,0,0,0,147
111,7,2,2365,0,0,0,182
111,7,2,2299,0,0,0,161
111,7,2,2265,0,0,0,159
111,7,2,2257,0,0,0,151
111,7,2,2265,0,0,0,148
111,7,2,2338,0,0,0,176
111,7,2,2307,0,0,0,163
110,7,2,2288,0,0,0,156
110,7,2,2390,0,0,0,153
110,7,2,2258,0,0,0,169
110,7,2,2263,0,0,0,159
110,7,2,2225,0,0,0,168
110,7,2,2143,0,0,0,166
110,7,2,2221,0,0,0,141
110,7,3,2679,0,0,0,236
110,7,3,2776,0,0,0,179
110,7,2,2244,0,0,0,149
110,7,2,2244,0,0,0,143
110,7,2,2247,0,0,0,154
110,7,2,2267,0,0,0,147
110,7,2,2248,0,0,0,143
110,7,2,2258,0,0,0,155
110,7,2,2242,0,0,0,148
110,7,2,2303,0,0,0,167
110,7,2,2301,0,0,0,178
110,7,2,2601,0,0,0,161
110,7,2,2267,0,0,0,157
109,7,2,2390,0,0,0,170
109,7,2,2334,0,0,0,169
109,7,2,2196,0,0,0,136
109,7,2,2229,0,0,0,159
109,7,3,2653,0,0,0,180
109,7,2,2250,0,0,0,157
109,7,2,2265,0,0,0,150
109,7,2,2236,0,0,0,149
109,7,2,2274,0,0,0,166
109,7,2,2284,0,0,0,161
109,7,2,2236,0,0,0,130
109,7,2,2285,0,0,0,160
109,7,3,2811,0,0,0,153
109,7,2,2281,0,0,0,161
109,7,2,2280,0,0,0,146
109,7,3,3206,0,0,0,156
109,7,2,2260,0,0,0,145
109,7,2,2258,0,0,0,147
109,7,2,2271,0,0,0,161
109,7,2,2271,0,0,0,143
109,7,2,2255,0,0,0,148
109,7,2,2252,0,0,0,149
109,7,2,2260,0,0,0,144
108,7,3,2896,0,0,0,190
108,7,3,3511,0,0,0,124
108,7,4,3908,0,0,0,196
108,7,2,2257,0,0,0,150
108,7,2,2227,0,0,0,148
108,7,2,2098,0,0,0,143
108,7,2,3639,0,0,0,158
108,7,4,3452,0,0,0,165
108,7,2,2277,0,0,0,161
108,7,2,2278,0,0,0,162
108,7,2,2226,0,0,0,140
108,7,2,2229,0,0,0,143
108,7,2,2215,0,0,0,147
108,7,3,2785,0,0,0,166
108,7,2,2247,0,0,0,143
108,7,2,2267,0,0,0,146
108,7,2,2253,0,0,0,141
108,7,2,2305,0,0,0,153
108,7,3,3125,0,0,0,178
